"1","ABRERA","8"
"2","AGUILAR DE SEGARRA","8"
"3","AIGUAFREDA","8"
"4","ALELLA","8"
"5","ALPENS","8"
"6","ARENYS DE MAR","8"
"7","ARENYS DE MUNT","8"
"8","ARGENTONA","8"
"9","ARGENÇOLA","8"
"10","ARTÉS","8"
"11","AVIÁ","8"
"12","AVINIÓ","8"
"13","AVINYONET DEL PENEDÉS","8"
"14","BADALONA","8"
"15","BADIA DEL VALLÈS","8"
"16","BAGÀ","8"
"17","BALENYÀ","8"
"18","BALSARENY","8"
"19","BARBERÀ DEL VALLÈS","8"
"20","BARCELONA","8"
"21","BEGUES","8"
"22","BELLPRAT","8"
"23","BERGA","8"
"24","BIGUES I RIELLS","8"
"25","BORREDÀ","8"
"26","CABRERA D'ANOIA","8"
"27","CABRERA DE MAR","8"
"28","CABRILS","8"
"29","CALAF","8"
"30","CALDERS","8"
"31","CALDES D'ESTRAC","8"
"32","CALDES DE MONTBUI","8"
"33","CALELLA","8"
"34","CALLDETENES","8"
"35","CALLÚS","8"
"36","CALONGE DE SEGARRA","8"
"37","CAMPINS","8"
"38","CANET DE MAR","8"
"39","CANOVELLES","8"
"40","CÀNOVES I SAMALÚS","8"
"41","CANYELLES","8"
"42","CAPELLADES","8"
"43","CAPOLAT","8"
"44","CARDEDEU","8"
"45","CARDONA","8"
"46","CARME","8"
"47","CASSERRES","8"
"48","CASTELL DE L'ARENY","8"
"49","CASTELLAR DE N'HUG","8"
"50","CASTELLAR DEL RIU","8"
"51","CASTELLAR DEL VALLÈS","8"
"52","CASTELLBELL I EL VILAR","8"
"53","CASTELLBISBAL","8"
"54","CASTELLCIR","8"
"55","CASTELLDEFELS","8"
"56","CASTELLET I LA GORNAL","8"
"57","CASTELLFOLLIT DEL BOIX","8"
"58","CASTELLFOLLIT RIUBREGÓS","8"
"59","CASTELLGALÍ","8"
"60","CASTELLNOU DE BAGES","8"
"61","CASTELLOLÍ","8"
"62","CASTELLTERÇOL","8"
"63","CASTELLVÍ DE LA MARCA","8"
"64","CASTELLVÍ DE ROSANES","8"
"65","CENTELLES","8"
"66","CERCS","8"
"67","CERDANYOLA DEL VALLÈS","8"
"68","CERVELLÓ","8"
"69","COLLBATÓ","8"
"70","COLLSUSPINA","8"
"71","COPONS","8"
"72","CORBERA DE LLOBREGAT","8"
"73","CORNELLÀ DE LLOBREGAT","8"
"74","CUBELLES","8"
"75","DOSRIUS","8"
"76","EL BRUC","8"
"77","EL BRULL","8"
"78","EL MASNOU","8"
